database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
postgres,tpcc,87076,10,2776149,595568,4.868636,32.441266,C,C
postgres,tpcc,86111,20,2693424,571919,4.764426,26.152279,C,C
postgres,tpcc,85932,30,2652622,555595,4.713532,27.555375,I,I
postgres,tpcc,85173,40,2575131,534840,4.477427,29.851546,I,I
postgres,tpcc,84858,50,2519399,519947,4.288877,30.579583,C,C
postgres,tpcc,83737,60,2481155,511883,4.198594,39.01964,C,C
postgres,tpcc,82470,70,2403166,494669,4.135757,30.844241,C,C
postgres,tpcc,83133,80,2391637,483579,4.056596,28.913503,C,C
postgres,tpcc,82659,90,2337635,472417,3.965676,33.461378,C,C
postgres,tpcc,80099,100,2269541,465143,3.850337,28.722418,C,C
postgres,rubis,49762,10,302778,45927,0.590504,8.633859,C,C
postgres,rubis,49587,20,301849,45906,0.590994,8.04234,C,C
postgres,rubis,49371,30,300814,45531,0.593868,8.653196,C,C
postgres,rubis,49195,40,300302,44913,0.593008,9.074512,C,C
postgres,rubis,49046,50,299442,44833,0.583497,8.501859,C,C
postgres,rubis,48856,60,298471,44719,0.583529,9.215513,C,C
postgres,rubis,48706,70,298698,44574,0.58702,9.057805,C,C
postgres,rubis,48593,80,297479,44872,0.58337,9.647379,C,C
postgres,rubis,48476,90,296881,44731,0.587395,9.123711,C,C
postgres,rubis,48403,100,297615,44245,0.591581,9.771752,C,C
postgres,twitter,49906,10,348878,48328,0.667083,9.504493,C,C
postgres,twitter,49778,20,350981,48843,0.671857,8.302957,C,C
postgres,twitter,49673,30,345599,48513,0.657672,9.400829,C,C
postgres,twitter,49619,40,346707,48440,0.662957,9.766014,C,C
postgres,twitter,49570,50,347398,48927,0.664382,9.217567,C,C
postgres,twitter,49443,60,347035,48259,0.669567,8.668248,C,C
postgres,twitter,49293,70,344825,48083,0.64929,9.07108,C,C
postgres,twitter,49216,80,345691,48131,0.667182,10.012776,C,C
postgres,twitter,49124,90,344489,47928,0.659681,9.305149,C,C
postgres,twitter,49027,100,343044,47640,0.661732,10.170396,C,C
rocksdb,rubis,48477,10,292733,45939,0.56569,7.467512,C,C
rocksdb,rubis,47007,20,281030,45674,0.544037,9.028131,C,C
rocksdb,rubis,45794,30,272468,45784,0.522623,8.279809,C,C
rocksdb,rubis,44961,40,267262,44974,0.517268,8.016525,C,C
rocksdb,rubis,45342,50,271524,44691,0.530043,13.612431,C,C
rocksdb,rubis,45666,60,273845,44974,0.522522,17.097297,C,C
rocksdb,rubis,45753,70,274881,44807,0.52815,18.033832,C,C
rocksdb,rubis,45701,80,275456,44755,0.534874,22.197896,C,C
rocksdb,rubis,45637,90,274603,44795,0.533329,26.515982,C,C
rocksdb,rubis,45753,100,274843,44674,0.532745,30.196757,C,C
cockroachdb,tpcc,87311,10,2802908,602406,4.934775,26.089474,C,C
cockroachdb,tpcc,88850,20,2799594,586501,4.975161,27.809221,C,C
cockroachdb,tpcc,87697,30,2741381,574153,4.914968,DNF,I,N/A
cockroachdb,tpcc,88028,40,2709111,563046,4.805627,31.648872,C,C
cockroachdb,tpcc,85538,50,2622335,549404,4.628737,30.410328,C,C
cockroachdb,tpcc,87266,60,2622739,539738,4.620615,42.361009,C,C
cockroachdb,tpcc,84903,70,2549459,529933,4.41323,35.194174,C,C
cockroachdb,tpcc,84910,80,2516729,520034,4.24607,31.661182,C,C
cockroachdb,tpcc,85513,90,2509820,512998,4.281061,32.274,C,C
cockroachdb,tpcc,84130,100,2445652,501054,4.202567,34.078145,C,C
rocksdb,tpcc,84061,10,2711625,590375,4.763568,27.701642,C,C
rocksdb,tpcc,81654,20,2639767,575753,4.66841,35.232096,C,C
rocksdb,tpcc,78853,30,2532605,554636,4.4476,32.861962,C,C
rocksdb,tpcc,78531,40,2502584,539404,4.353508,33.290637,C,C
rocksdb,tpcc,76306,50,2417230,525459,4.111496,35.62287,C,C
rocksdb,tpcc,76415,60,2402817,514098,4.078274,38.550072,C,C
rocksdb,tpcc,76301,70,2361326,501676,4.034674,37.767177,C,C
rocksdb,tpcc,72906,80,2284133,490284,3.90707,41.169088,C,C
rocksdb,tpcc,74491,90,2297134,484483,3.864389,47.610996,C,C
rocksdb,tpcc,72687,100,2233514,472090,3.764339,45.864984,C,C
rocksdb,twitter,49718,10,344621,48378,0.659218,7.771376,C,C
rocksdb,twitter,49476,20,339548,48864,0.646331,8.18708,C,C
rocksdb,twitter,49231,30,335702,48720,0.646246,8.696709,C,C
rocksdb,twitter,48834,40,328358,48615,0.629418,8.653153,C,C
rocksdb,twitter,47618,50,307082,48295,0.558177,8.948075,C,C
rocksdb,twitter,47049,60,300340,48520,0.558013,10.636491,C,C
rocksdb,twitter,46877,70,299909,48174,0.568605,12.614678,C,C
rocksdb,twitter,46489,80,294692,48050,0.561404,13.714454,C,C
rocksdb,twitter,46477,90,295411,48014,0.566932,14.960367,C,C
rocksdb,twitter,46120,100,290779,47660,0.55271,15.164249,C,C
cockroachdb,rubis,50000,10,303496,45612,0.567031,7.363407,C,C
cockroachdb,rubis,49910,20,303452,46197,0.576048,7.956642,C,C
cockroachdb,rubis,49738,30,302216,45767,0.592282,9.054393,C,C
cockroachdb,rubis,49259,40,301296,45319,0.593798,10.537292,C,C
cockroachdb,rubis,49032,50,299392,44875,0.58019,11.59714,C,C
cockroachdb,rubis,48980,60,299275,44874,0.558294,13.72989,C,C
cockroachdb,rubis,48900,70,298904,44834,0.588743,15.922267,C,C
cockroachdb,rubis,48783,80,298104,44755,0.590447,18.525854,C,C
cockroachdb,rubis,48775,90,298761,44991,0.587165,20.414773,C,C
cockroachdb,rubis,48728,100,298425,45039,0.588138,22.015031,C,C
cockroachdb,twitter,49912,10,349088,48797,0.665367,9.136514,C,C
cockroachdb,twitter,49787,20,348236,48191,0.664915,8.180108,C,C
cockroachdb,twitter,49703,30,346672,48631,0.662356,11.099229,C,C
cockroachdb,twitter,49649,40,343584,48403,0.664321,14.038463,C,C
cockroachdb,twitter,49512,50,345332,48532,0.667535,12.868234,C,C
cockroachdb,twitter,49473,60,345449,48168,0.637732,14.980552,C,C
cockroachdb,twitter,49304,70,345437,48130,0.661683,12.499229,C,C
cockroachdb,twitter,49276,80,344531,47988,0.659619,10.288862,C,C
cockroachdb,twitter,49204,90,344112,47841,0.658308,11.476114,C,C
cockroachdb,twitter,49024,100,343521,48089,0.649567,16.475676,C,C
